p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	Sample
1.25502126550825e-29	-0.935624630296851	0.995	1	1.88817949395717e-25	5	SERF2	A1
2.37070427447074e-28	-1.00586935783741	0.947	0.986	3.56672458094123e-24	5	LMNA	A1
1.25325827932518e-26	-1.53406858023036	0.87	0.957	1.88552708124473e-22	5	APOE	A1
1.21241237468001e-24	1.10991977402602	0.971	0.884	1.82407441770607e-20	5	SCD	A1
3.2945916136245e-22	0.702812308014567	0.995	0.993	4.95671308269807e-18	5	MUCL1	A1
4.49712790349315e-22	0.705212179681487	0.995	0.986	6.76592893080545e-18	5	TPT1	A1
1.5359609008258e-21	-1.12951595628714	0.928	0.978	2.31085317529241e-17	5	TAGLN2	A1
1.54466019922616e-21	-0.817185353725164	0.966	0.986	2.32394126973576e-17	5	EIF4G1	A1
2.57152675028969e-20	-0.886973288520106	0.981	0.978	3.86886199581084e-16	5	ADAM15	A1
2.87561113212345e-20	-1.16832486654149	0.745	0.92	4.32635694827973e-16	5	WDR34	A1
5.7195175000775e-20	-0.945661939024994	0.889	0.949	8.6050140788666e-16	5	KDELR1	A1
1.85608575444434e-19	-1.01529225266243	0.928	0.949	2.79248101756151e-15	5	H2AFJ	A1
2.66393035722959e-19	-1.02513367622781	0.87	0.92	4.00788322245191e-15	5	RABAC1	A1
5.62367783598131e-18	-1.21742425396058	0.601	0.833	8.46082330423388e-14	5	NINJ1	A1
2.31573171845964e-16	-1.15810501475336	0.639	0.848	3.48401837042252e-12	5	HCFC1R1	A1
2.43461202385854e-16	-0.910538759960374	0.846	0.942	3.66287378989517e-12	5	COPE	A1
1.68738010706415e-15	0.772862939956573	0.966	0.768	2.53866337107801e-11	5	CPD	A1
1.90359033533794e-15	-0.853682430497939	0.856	0.928	2.86395165951593e-11	5	SLC25A6	A1
1.93064433661897e-15	-0.629321811795713	0.99	1	2.90465440444324e-11	5	STARD3	A1
3.09027190183172e-15	-0.730292715705478	0.942	0.993	4.64931407630582e-11	5	UBE2M	A1
3.52206646203854e-15	-0.972838631876016	0.726	0.841	5.29894899213699e-11	5	NRBP1	A1
4.26970401466868e-15	0.718611537644251	0.971	0.826	6.42376969006903e-11	5	FNBP1L	A1
2.28569979212183e-14	-0.98603346531631	0.538	0.783	3.43883533724729e-10	5	MRPL41	A1
2.4523781558395e-14	-1.24015518703209	0.37	0.674	3.68960293546052e-10	5	COMP	A1
4.28247017346622e-14	-1.02011280930908	0.596	0.819	6.44297637597993e-10	5	MRPL28	A1
