p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	Sample
6.97800251835082e-24	1.15177280575113	0.997	0.967	1.04984047888588e-19	5	TPT1	A1
1.28116291802883e-20	1.16360208963082	0.997	0.983	1.92750961017437e-16	5	MUCL1	A1
7.10305860719181e-20	1.53076425548166	0.944	0.617	1.06865516745201e-15	5	CPD	A1
1.96517897880493e-19	0.508390648813558	0.997	1	2.95661177361201e-15	5	ERBB2	A1
9.49462053523316e-17	1.24826141867072	0.965	0.667	1.42846565952583e-12	5	FNBP1L	A1
1.0230053375219e-14	-2.44728289866909	0.72	0.833	1.5391115303017e-10	5	TFF3	A1
1.07443638199814e-14	-2.05352067879297	0.301	0.683	1.6164895367162e-10	5	IGFBP2	A1
3.30811487863051e-14	0.576197980608387	0.997	1	4.9770588348996e-10	5	PTPRF	A1
6.13039986941905e-14	-1.14060649895995	0.941	0.983	9.22318660354096e-10	5	TAGLN2	A1
7.54538389264151e-14	-1.12330580940402	0.941	0.917	1.13520300664792e-09	5	H2AFJ	A1
8.78379009159839e-14	0.847564276045794	0.99	0.867	1.32152121928098e-09	5	PERP	A1
1.09325899489733e-13	-1.54795492916147	0.045	0.35	1.64480815782303e-09	5	PPP1R1B	A1
1.28474042197745e-13	1.19034863572216	0.972	0.767	1.93289196486507e-09	5	SCD	A1
3.7522059958703e-13	-2.86463583090624	0.517	0.817	5.64519392078687e-09	5	IGKC	A1
4.26840699552179e-13	1.026192057098	0.892	0.367	6.42181832476253e-09	5	DNTTIP2	A1
1.11866787702515e-12	-0.711583751138365	0.997	1	1.68303582098434e-08	5	SERF2	A1
3.56935437054446e-12	-0.928281999529727	0.042	0.317	5.37009365048413e-08	5	SUSD2	A1
7.79797870354303e-12	1.05887305643375	0.948	0.5	1.17320589594805e-07	5	DR1	A1
7.93830170646378e-12	-1.77358031018213	0.748	0.85	1.19431749173748e-07	5	MGP	A1
2.32427570947111e-11	0.808942545814111	0.976	0.8	3.49687280489929e-07	5	HSP90AB1	A1
1.17574482006105e-10	0.953863194652913	0.927	0.567	1.76890808178186e-06	5	LDHB	A1
1.27697894800383e-10	-1.03929805016837	0.801	0.883	1.92121482727177e-06	5	WDR34	A1
1.39701256537218e-10	0.81400281196501	0.986	0.8	2.10180540460244e-06	5	FUCA2	A1
1.56769180510342e-10	-1.31822221537329	0.08	0.367	2.3585923207781e-06	5	KRT17	A1
1.6299568955472e-10	1.10561077107585	0.804	0.417	2.45227014935077e-06	5	VTA1	A1
3.84283572880019e-10	1.14481053155927	0.661	0.2	5.78154635397988e-06	5	ARPC1A	A1
4.5688813811733e-10	-1.14228154252421	0.154	0.5	6.87388203797524e-06	5	S100A9	A1
4.79485726688312e-10	0.981231899890598	0.766	0.267	7.21386275802565e-06	5	TGFBR1	A1
6.83572772761076e-10	-1.3467347513044	0.084	0.367	1.02843523661904e-05	5	TFF1	A1
6.86100668392196e-10	-0.885277767139795	0.042	0.283	1.03223845559606e-05	5	TTC36	A1
7.26968785190668e-10	-0.571923965777866	0.007	0.167	1.09372453731936e-05	5	CYP4B1	A1
1.11792149316927e-09	0.757805856760291	0.972	0.767	1.68191288647317e-05	5	TXNIP	A1
1.44146882110293e-09	-1.93905188128161	0.203	0.517	2.16868984134935e-05	5	IGHA1	A1
1.63842335476404e-09	-1.08193344483365	0.063	0.317	2.4650079372425e-05	5	CX3CL1	A1
2.1772807310581e-09	-0.828113472588528	0.871	0.95	3.27571885987692e-05	5	COPE	A1
2.65397131618171e-09	0.750966757066844	0.962	0.733	3.99289984519539e-05	5	CD24	A1
3.12549144397083e-09	-1.54483774386209	0.92	0.917	4.70230187745412e-05	5	MUC1	A1
3.27062607962753e-09	0.884632115790205	0.867	0.5	4.92065693679962e-05	5	CRISP3	A1
3.33142314337704e-09	1.01421373442192	0.787	0.317	5.01212611921075e-05	5	EPCAM	A1
4.42045037777899e-09	-0.946767849984073	0.902	0.917	6.6505675933685e-05	5	APOE	A1
4.85569179367354e-09	1.02061800921743	0.706	0.233	7.30538830358184e-05	5	SPAG5	A1
6.14257521602613e-09	0.84437736932674	0.916	0.567	9.24150441251132e-05	5	AIG1	A1
8.76749029353018e-09	-0.657548758449417	0.972	0.983	0.000131906891466162	5	EIF4G1	A1
9.08647352275198e-09	0.797622194692568	0.902	0.583	0.000136705994149804	5	HSP90AA1	A1
9.97168805289627e-09	0.850247160921681	0.951	0.75	0.000150024046755824	5	COX7C	A1
1.11862828848699e-08	0.891162926364262	0.853	0.483	0.000168297626002867	5	TMED5	A1
1.29781007356535e-08	-1.0569992545517	0.619	0.8	0.000195255525567907	5	LGALS1	A1
1.43347883199742e-08	0.901460589818267	0.934	0.583	0.000215666890274012	5	SERHL2	A1
1.62363986553559e-08	0.858872360685604	0.626	0.2	0.00024427661776983	5	GDF9	A1
1.73351467851558e-08	-0.633135917719844	0.962	0.967	0.000260807283382669	5	LMNA	A1
2.31832296644915e-08	0.838884094250335	0.853	0.6	0.000348791690302274	5	CREB3L4	A1
2.40307853916748e-08	-0.772362285954394	0.909	0.933	0.000361543166217747	5	KDELR1	A1
2.55983456826331e-08	-0.731998199559248	0.871	0.95	0.000385127110795215	5	SLC25A6	A1
2.85638618357717e-08	-0.899233487220751	0.857	0.867	0.000429743301319185	5	INF2	A1
3.02438902494224e-08	0.862126749233749	0.759	0.383	0.00045501932880256	5	PBX1	A1
3.24600722737932e-08	0.822754923638868	0.689	0.25	0.000488361787359219	5	GSDMB	A1
4.13676792670243e-08	0.57679363495231	0.979	0.833	0.000622376734572381	5	JTB	A1
4.38365942143893e-08	-0.88036091499048	0.874	0.867	0.000659521559955486	5	SEC61A1	A1
