"","x","y"
"1",16265,19934
"2",18526,7893
"3",7178,18782
"4",14487,6446
"5",15497,7025
"6",14237,9202
"7",16762,11230
"8",20049,17175
"9",12973,7898
"10",12477,16601
"11",20551,13693
"12",20300,15289
"13",14999,14858
"14",14993,7896
"15",6163,12110
"16",10954,7319
"17",19288,12969
"18",9698,14138
"19",9693,8916
"20",16508,9055
"21",6163,12691
"22",12973,7317
"23",14750,18775
"24",14246,19066
"25",7177,17912
"26",15504,15148
"27",20049,17755
"28",14745,13263
"29",17023,19788
"30",7674,8628
"31",6923,15156
"32",16002,7605
"33",11968,12540
"34",12221,13555
"35",7177,17621
"36",10207,18779
"37",17518,9634
"38",15499,9926
"39",10705,11236
"40",19033,10503
"41",10955,8770
"42",16517,18628
"43",5912,14576
"44",14993,8186
"45",18528,9633
"46",7427,14865
"47",10956,9640
"48",16015,21530
"49",10460,19504
"50",19792,12678
"51",12722,8623
"52",7170,9498
"53",7423,10804
"54",20548,11372
"55",13741,19066
"56",5661,15302
"57",9699,15298
"58",15255,18485
"59",6670,14431
"60",19292,17030
"61",17271,15001
"62",7683,18491
"63",17019,15727
"64",7425,12834
"65",9700,16169
"66",8694,20231
"67",20550,12823
"68",9446,14573
"69",17274,18773
"70",16264,18484
"71",15500,10796
"72",15753,11231
"73",9695,10947
"74",5915,17187
"75",12728,15876
"76",15510,21530
"77",17522,13986
"78",13229,11524
"79",18788,18481
"80",12478,18632
"81",17015,11085
"82",7679,14720
"83",8689,14719
"84",10955,9060
"85",18783,12969
"86",12728,15005
"87",10451,9060
"88",12476,16311
"89",13480,9348
"90",12729,16746
"91",10206,18199
"92",18533,15726
"93",17018,15147
"94",16014,20660
"95",20552,15724
"96",18023,10214
"97",16261,15002
"98",12476,15731
"99",18029,16886
"100",10706,12106
"101",13490,20952
"102",10458,17764
"103",9695,10657
"104",11210,11816
"105",10207,18489
"106",18779,8908
"107",9953,16894
"108",14750,18485
"109",8434,11963
"110",11965,9639
"111",15003,19790
"112",13984,8767
"113",19287,12099
"114",14751,20226
"115",16003,9055
"116",16767,16743
"117",18030,17467
"118",8189,20232
"119",15247,10071
"120",20804,15288
"121",12723,9493
"122",16762,10650
"123",20548,10502
"124",16763,11811
"125",15759,17614
"126",5657,11240
"127",16014,20950
"128",10460,19794
"129",12721,8333
"130",17275,19353
"131",6920,11965
"132",13486,16600
"133",14248,21677
"134",5659,13851
"135",20554,17174
"136",16759,7459
"137",10209,21100
"138",13225,6592
"139",11721,18488
"140",16506,7314
"141",15751,9491
"142",14748,16454
"143",9444,11962
"144",9450,18635
"145",9956,19795
"146",9950,13703
"147",8441,19216
"148",11206,7464
"149",8433,10223
"150",17518,9054
"151",13735,12394
"152",16513,14277
"153",9449,18345
"154",20298,13548
"155",20300,16159
"156",16008,14277
"157",15001,17179
"158",6925,18347
"159",6418,14866
"160",16263,17033
"161",14749,17325
"162",11718,15587
"163",9189,9497
"164",11208,8915
"165",16010,16018
"166",10957,10510
"167",19040,17756
"168",14748,16164
